label,x1,x4,x3,x6,x8,x12,x2,x7,x9,x10,x11
1.0,0.3745401188473625,37364.08184666985,37426.56954705816,94668.89103266867,37380.59075870557,426245.6710093265,54755.42766264689,94669.3920873156,69273.6344193962,68016.8211419631,204465.4592318496
0.0,0.9507143064099162,33291.20962314033,33318.29689811869,74535.2595058876,33296.446408862525,260274.53269033134,48781.1000317382,74544.9902926457,61064.30491449905,60778.473894911716,175692.0599138295
0.0,0.7319939418114051,17615.391250286004,17653.000126531526,104226.49266339256,17622.37007028122,107334.1065304593,25822.259262405125,104229.4207809462,33292.72237113981,32020.746660377306,133068.21533249138
1.0,0.5986584841970366,60726.66701014879,60784.82493363895,80390.7352658844,60736.645476558224,398845.2470641813,88940.7376695641,80394.07011022876,112013.22198842869,108817.68528733272,286162.8799835084
0.0,0.15601864044243652,47662.416050862885,47708.81520305449,100451.39431250619,47673.66382451986,239835.68032949563,69810.23509026278,100454.0515633004,88205.96251256941,85423.43763075498,247500.8717321935
1.0,0.15599452033620265,86570.09923240036,86633.14327709466,149448.3297899289,86583.47935212306,359504.11413709656,126791.76631147598,149458.19657598296,158654.7319892507,155913.17894993187,428480.05051389924
0.0,0.05808361216819946,3210.9580482058254,3288.4505573714855,77345.90783450966,3225.0671056054794,52445.72623804374,4756.252725999288,77357.40503844571,6279.506562843744,6094.326634136626,60020.14448326982
1.0,0.8661761457749352,64386.79275551264,64409.46928590529,100932.42582796235,64411.961969273914,354283.8439433531,94289.46157700606,100941.29549517752,118281.88434565667,115776.14842501169,312683.5165036574
1.0,0.6011150117432088,76294.8878511561,76356.04966724719,137979.85830292487,76323.03157848543,247754.56227696815,111731.04518108294,137989.53122489608,139786.2125715487,136766.8558525016,380962.0512703672
1.0,0.7080725777960455,75948.6569188307,75978.71856349875,103175.87677421799,75965.71631749552,229341.75203961966,111232.78945143885,103183.1645521268,139428.6198932244,136391.14891840654,358999.1627671788
1.0,0.020584494295802447,88607.39670955251,88649.40800573108,127712.75874611305,88657.50669082474,538388.6473685633,129767.4922810705,127718.96920741216,162066.12163185462,158784.91229865223,422419.32319466537
1.0,0.9699098521619943,72903.3742829494,72920.61997526533,153329.88639185083,72933.92418986942,271389.0393099029,106743.36248018572,153338.3613255171,134304.71347940178,130641.71890648763,377754.87734597025
1.0,0.8324426408004217,92781.00616476963,92804.93914615827,178081.85646565614,92824.4985155049,404000.6217198917,135855.090535257,178082.2765006677,169857.08132077564,166343.69773602422,469353.2099873363
0.0,0.21233911067827616,33265.65998208915,33301.525568816556,97814.81223817998,33316.70563757375,321392.5988104822,48736.1499656616,97815.53338735319,61412.2721266889,59911.0584779378,189551.81268002535
0.0,0.18182496720710062,50320.94167515431,50358.24852796009,83937.4052988578,50329.95162753233,98196.27153144166,73702.74190276192,83945.47732598113,93078.83691695865,91095.03449465397,248418.37838706476
0.0,0.18340450985343382,1407.9663282890676,1481.4597100818082,75048.41945611851,1431.5978360246822,344706.7058408102,2108.9984839356016,75052.35485285259,3522.8018830068404,3367.353527298402,52436.02366069875
0.0,0.3042422429595377,695.7587303291212,759.0131627017903,3018.599440632464,719.6849408158191,149025.83310634072,1072.5795199435368,3024.340800148949,2173.650515191871,1522.5957797549681,5685.1142173987155
0.0,0.5247564316322378,24012.66204515199,24090.866803238423,33239.15254576434,24032.239547543697,390725.9151264534,35192.69240396588,33248.337048424524,44611.03595310052,43247.12454237807,114517.74858992083
0.0,0.43194501864211576,10080.719713908526,10134.710657714752,69471.48732680069,10081.211584918172,288987.83893436904,14799.383519872052,69478.26604643493,18946.669637318315,18104.248844741604,81897.13543394324
0.0,0.2912291401980419,26021.136793575362,26051.936289646892,52174.99731160593,26066.202933087945,171566.13068222709,38118.221771591314,52184.45511232384,48096.50424660139,46917.37849897722,133628.13268827306
0.0,0.6118528947223795,17704.32945283974,17740.706281316565,103137.95752037852,17710.49087416916,181242.7982448013,25938.917547142933,103142.88049869782,32483.332191093767,32586.92203246827,132056.23376227505
0.0,0.13949386065204183,2852.0024838648237,2887.8718757787024,42009.853867324135,2906.9828772880423,338613.8851607244,4207.9095064538515,42013.22965460479,5306.369106353042,5372.1826075803365,36817.22651017887
1.0,0.29214464853521815,90930.41464060494,90966.71614298731,129486.98994194434,90973.1051381132,343407.64028200775,133144.84476420618,129489.74810143918,167236.73479541577,162570.46043517432,433257.99971307674
0.0,0.3663618432936917,822.3131388891525,881.0994948315899,61713.24423863464,854.3470921615602,307595.44080702285,1239.994199977079,61714.79083140499,1982.6574983649073,1945.3159340233635,41397.26160612486
0.0,0.45606998421703593,73608.21443370853,73657.77527581781,142535.1820522354,73616.7533461604,146276.32380721997,107802.80039290068,142535.6142273895,134685.2054601258,132370.54990518666,373298.30307774834
