,semantic,correct_relationships,model,CF,dataset
0,1,0.5,MLP0,Clue,nutrition
1,1,0.5,MLP0,Clue,nutrition
2,1,0.5,MLP0,Clue,nutrition
3,1,0.5,MLP0,Clue,nutrition
4,1,0.5,MLP0,Clue,nutrition
5,1,0.5,MLP0,Clue,nutrition
6,1,0.5,MLP0,Clue,nutrition
7,1,0.5,MLP0,Clue,nutrition
8,1,0.5,MLP0,Clue,nutrition
9,1,0.5,MLP0,Clue,nutrition
10,1,0.5,MLP0,Clue,nutrition
11,1,0.5,MLP0,Clue,nutrition
12,1,0.5,MLP0,Clue,nutrition
13,1,0.5,MLP0,Clue,nutrition
14,1,0.5,MLP0,Clue,nutrition
15,1,0.5,MLP0,Clue,nutrition
16,1,0.5,MLP0,Clue,nutrition
17,1,0.5,MLP0,Clue,nutrition
18,1,0.5,MLP0,Clue,nutrition
19,1,0.5,MLP0,Clue,nutrition
20,1,0.5,MLP0,Clue,nutrition
21,1,0.5,MLP0,Clue,nutrition
22,1,0.5,MLP0,Clue,nutrition
23,1,0.5,MLP0,Clue,nutrition
24,1,0.5,MLP0,Clue,nutrition
25,1,0.5,MLP0,Clue,nutrition
26,1,0.5,MLP0,Clue,nutrition
27,1,0.5,MLP0,Clue,nutrition
28,1,0.5,MLP0,Clue,nutrition
29,1,0.5,MLP0,Clue,nutrition
30,1,0.5,MLP0,Clue,nutrition
31,1,0.5,MLP0,Clue,nutrition
32,1,0.5,MLP0,Clue,nutrition
33,1,0.5,MLP0,Clue,nutrition
34,1,0.625,MLP0,Clue,nutrition
35,1,0.5,MLP0,Clue,nutrition
36,1,0.5,MLP0,Clue,nutrition
37,1,0.5,MLP0,Clue,nutrition
38,1,0.5,MLP0,Clue,nutrition
39,1,0.5,MLP0,Clue,nutrition
40,1,0.5,MLP0,Clue,nutrition
41,1,0.5,MLP0,Clue,nutrition
42,1,0.5,MLP0,Clue,nutrition
43,1,0.5,MLP0,Clue,nutrition
44,1,0.5,MLP0,Clue,nutrition
45,1,0.5,MLP0,Clue,nutrition
46,1,0.5,MLP0,Clue,nutrition
47,1,0.5,MLP0,Clue,nutrition
48,1,0.5,MLP0,Clue,nutrition
49,1,0.5,MLP0,Clue,nutrition
50,1,0.5,MLP0,Clue,nutrition
51,1,0.5,MLP0,Clue,nutrition
52,1,0.5,MLP0,Clue,nutrition
53,1,0.5,MLP0,Clue,nutrition
54,1,0.5,MLP0,Clue,nutrition
55,1,0.5,MLP0,Clue,nutrition
56,1,0.5,MLP0,Clue,nutrition
57,1,0.5,MLP0,Clue,nutrition
58,1,0.5,MLP0,Clue,nutrition
59,1,0.5,MLP0,Clue,nutrition
60,1,0.5,MLP0,Clue,nutrition
61,1,0.5,MLP0,Clue,nutrition
62,1,0.5,MLP0,Clue,nutrition
63,1,0.5,MLP0,Clue,nutrition
64,1,0.5,MLP0,Clue,nutrition
65,1,0.5,MLP0,Clue,nutrition
66,1,0.5,MLP0,Clue,nutrition
67,1,0.5,MLP0,Clue,nutrition
68,1,0.5,MLP0,Clue,nutrition
69,1,0.5,MLP0,Clue,nutrition
70,1,0.5,MLP0,Clue,nutrition
71,1,0.5,MLP0,Clue,nutrition
72,1,0.5,MLP0,Clue,nutrition
73,1,0.5,MLP0,Clue,nutrition
74,1,0.5,MLP0,Clue,nutrition
75,1,0.5,MLP0,Clue,nutrition
76,1,0.5,MLP0,Clue,nutrition
77,1,0.5,MLP0,Clue,nutrition
78,1,0.5,MLP0,Clue,nutrition
79,1,0.5,MLP0,Clue,nutrition
80,1,0.5,MLP0,Clue,nutrition
81,1,0.5,MLP0,Clue,nutrition
82,1,0.5,MLP0,Clue,nutrition
83,1,0.5,MLP0,Clue,nutrition
84,1,0.5,MLP0,Clue,nutrition
85,1,0.5,MLP0,Clue,nutrition
86,1,0.5,MLP0,Clue,nutrition
87,1,0.5,MLP0,Clue,nutrition
88,1,0.5,MLP0,Clue,nutrition
89,1,0.5,MLP0,Clue,nutrition
90,1,0.5,MLP0,Clue,nutrition
91,1,0.5,MLP0,Clue,nutrition
92,1,0.5,MLP0,Clue,nutrition
93,1,0.5,MLP0,Clue,nutrition
94,1,0.5,MLP0,Clue,nutrition
95,1,0.5,MLP0,Clue,nutrition
96,1,0.5,MLP0,Clue,nutrition
97,1,0.5,MLP0,Clue,nutrition
98,1,0.5,MLP0,Clue,nutrition
99,1,0.5,MLP0,Clue,nutrition
100,1,0.5,MLP0,Clue,nutrition
101,1,0.5,MLP0,Clue,nutrition
102,1,0.5,MLP0,Clue,nutrition
103,1,0.5,MLP0,Clue,nutrition
104,1,0.5,MLP0,Clue,nutrition
105,1,0.5,MLP0,Clue,nutrition
106,1,0.5,MLP0,Clue,nutrition
107,1,0.5,MLP0,Clue,nutrition
108,1,0.5,MLP0,Clue,nutrition
109,1,0.5,MLP0,Clue,nutrition
